type	conference_acronym	conference_name	conference_date	conference_location
Machine Learning	PMx@AAAI 2022	Artificial Intelligence for Predictive Maintenance - AAAI Fall Symposium Series	Nov 17, 2022	Arlington, VA
Machine Learning	MLMI 2022	ACM--2022 5th International Conference on Machine Learning and Machine Intelligence (MLMI 2022)	Sep 23, 2022	Hangzhou, China
Machine Learning	AIMLAI 2022	Advances in Interpretable Machine Learning and Artificial Intelligence	Oct 21, 2022	Atlanta, USA
Machine Learning	ICACNIS 2022	The 2022 International Conference on Advanced Creative Networks and Intelligent Systems	Nov 23, 2022	Bandung, Indonesia
Machine Learning	IJCACI 2022	6th International Joint Conference on Advances in Computational Intelligence	Oct 15, 2022	South Asian University, India 
Machine Learning	SIVT 2022	Signal Image and Vision Technology	Oct 19, 2022	Dijon, France
Machine Learning	WNUT@COLING 2022	The 8th Workshop on Noisy User-generated Text (WNUT@COLING 2022)	Oct 16, 2022	Gyeongju, Republic of Korea
Machine Learning	SITIS 2022	Int IEEE Conf. Signal Image and Internet Based Systems : TRACK ISSA on Intelligent Systems, Services and Applications	Oct 19, 2022	Dijon, France
Machine Learning	BDML--Ei 2022	2022 5th International Conference on Big Data and Machine Learning (BDML 2022)	Sep 23, 2022	Xiamen, China
Machine Learning	AWSE--EI 2022	2022 The Second Asia Workshop on Software Engineering (AWSE 2022)	Sep 16, 2022	Larissa, Greece
Machine Learning	APSIPA ASC 2022	Asia Pacific Signal and Information Processing Association Annual Summit and Conference 2022	Nov 7, 2022	Chiang Mai, Thailand
Machine Learning	ACM-Ei/Scopus-CVCM 2022	2022 3rd International Conference on Computer Vision, Communications and Multimedia (CVCM 2022) -EI Compendex	Aug 26, 2022	Xi'an, China
Machine Learning	ACM-Ei/Scopus-ITNLP 2022	2022 2nd International Conference on Information Technology and Natural Language Processing (ITNLP 2022) -EI Compendex	Aug 26, 2022	Xi'an, China
Machine Learning	CAMLIS 2022	Conference on Applied Machine Learning for Information Security	Oct 20, 2022	Arlington, Virginia
Machine Learning	AIxIA 2022	21st International Conference of the Italian Association for Artificial Intelligence	Nov 28, 2022	Udine, Italy
Machine Learning	IEEE-AIMLMI 2022	2022 Asia Conference on Advanced Artificial Intelligence, Machine Learning and Man-machine Interaction (AIMLMI 2022)	Aug 26, 2022	Qingdao, China
Machine Learning	RSDA 2022	The 7th International Workshop on Resiliency, Security, Defenses and Attacks	Oct 31, 2022	Charlotte, North Carolina, USA
Machine Learning	AISC 2022	Artificial Intelligence methods for Smart Cities [Elsevier][Scopus][Ei]	Oct 26, 2022	Leuven, Belgium
Machine Learning	ICVGIP 2022	The Indian Conference on Computer Vision, Graphics and Image Processing	Dec 8, 2022	Gandhinagar,Gujarat
Machine Learning	ICCCMLA 2022	IEEE 4th International Conference on Cybernetics, Cognition and Machine Learning Applications	Oct 8, 2022	Goa, India
Machine Learning	DMMLACS 2022	3rd International Special Session on Data Mining and Machine Learning Applications for Cyber Security	Oct 25, 2022	Valleta, Malta
Machine Learning	SCIA 2023	22nd Scandinavian Conference on Image Analysis	Apr 18, 2023	Levi Ski Resort, Lapland, Finland
Machine Learning	SCIA 2023	Scandinavian Conference on Image Analysis	Apr 18, 2023	Levi Ski Resort, Lapland, Finland
Machine Learning	BMVC 2022	The 33rd British Machine Vision Conference	Nov 21, 2022	London, UK
Machine Learning	AIM 2022	ECCV 2022 - Advances in Image Manipulation workshop and challenges	Oct 23, 2022	Tel-Aviv, Israel
Machine Learning	IEEE ICICT 2023	3rd IEEE International Conference on Issues and Challenges in Intelligent Computing Techniques	Nov 11, 2022	Ghaziabad, India
Machine Learning	NoCArc 2022	15th International Workshop on Network-on-Chip Architectures	Oct 5, 2022	Chicago, Illinois, USA
Machine Learning	IEEE ICICT 2022	3rd IEEE International Conference on Issues and Challenges in Intelligent Computing Techniques	Nov 11, 2022	Delhi, India
Machine Learning	IHCI 2022	14th International Conference on Intelligent Human-Computer Interaction (IHCI-2022)	Oct 20, 2022	Tashkent, Uzbekistan
Machine Learning	ORSUM 2022	5th Workshop on Online Recommender Systems and User Modeling (ACM RecSys 2022) 	Sep 18, 2022	Seattle, WA, USA
Machine Learning	MDE Intelligence 2022	The 4th Workshop on Artificial Intelligence and Model-driven Engineering	Oct 23, 2022	Montreal (Canada), Virtual
Machine Learning	WMLQ 2022	International Workshop on Machine Learning and Quantum Computing Applications in Medicine and Physics	Sep 13, 2022	Warsaw, Poland
Machine Learning	ISIC-SIAW-ECCV 2022	Seventh ISIC Skin Image Analysis Workshop @ ECCV 2022	Oct 23, 2022	Tel Aviv, Israel
Machine Learning	CVIP 2022	Seventh International Conference on Computer Vision and Image Processing  (endorsed by IAPR)	Nov 4, 2022	Nagpur, Maharashtra, India
Machine Learning	AJCAI  2022	Australasian Joint Conference on Artificial Intelligence 2022	Dec 5, 2022	Perth, Western Australia
Machine Learning	PRELUDE 2022	PeRvasive sEnsing and muLtimedia UnDErstanding	Oct 19, 2022	Iijon, France
Machine Learning	CoCo4MT 2022	2nd CFP - The First Workshop on Corpus Generation and Corpus Augmentation for Machine Translation	Sep 16, 2022	Orlando, Florida and Hybrid
Machine Learning	ASPAI 2022	4th International Conference on Advances in Signal Processing and Artificial Intelligence	Oct 19, 2022	Corfu Holiday Palace, Corfu, Greece
Machine Learning	ICMLA 2022	IEEE International conference on Machine Learning and Applications	Dec 12, 2022	Nassau, The Bahamas
Machine Learning	SUMAC 2022	The 4th workshop on Structuring and Understanding of Multimedia HeritAge Contents, in conjunction with ACM Multimedia 2022	Oct 10, 2022	Lisbon, Portugal
Machine Learning	MuSe 2022	The 3rd International Multimodal Sentiment Analysis Challenge and Workshop @ ACM Multimedia 2022, October 2022, Lisbon, Portugal	Oct 10, 2022	Lisbon, Portugal
Machine Learning	ACCV 2022	The 16th Asian Conference on Computer Vision	Dec 4, 2022	Macau SAR, China
Machine Learning	ACM RACS 2022	Conference on Research in Adaptive and Convergent Systems	Oct 3, 2022	The University of Aizu, Japan
Machine Learning	MIDAS 2022	The 7th Workshop on MIning DAta for financial applicationS	Sep 23, 2022	Grenoble, France
Machine Learning	ICIST--Ei, Scopus 2022	2022 The 4th International Conference on Intelligent Science and Technology (ICIST 2022)--Ei Compendex, Scopus	Aug 10, 2022	Harbin, China
Machine Learning	GRAPH-QUALITY@ECML-PKDD 2022	GRAPH-QUALITY Workshop Co-located with ECML-PKDD	Sep 23, 2022	Grenoble, France
Machine Learning	HYDRA 2022	1st International Workshop on HYbrid Models for Coupling Deductive and Inductive ReAsoning	Sep 5, 2022	Genova Nervi, Italy
Machine Learning	DAIBC -  2022	THE FIRST INTERNATIONAL WORKSHOP ON DECENTRALIZED AI USING BLOCKCHAIN 	Sep 5, 2022	SAN ANTONIO, TEXAS, USA
Machine Learning	AALTD@ECML 2022	Workshop on Advanced Analytics and Learning on Temporal Data	Sep 19, 2022	Grenoble, France
Machine Learning	ACM--SPML 2022	ACM--2022 5th International Conference on Signal Processing and Machine Learning (SPML 2022)	Aug 4, 2022	Dalian, China
Machine Learning	PRAXAI @ IEEE-DSAA 2022	Practical applications of explainable artificial intelligence methods  @ IEEE-DSAA22	Oct 13, 2022	Shenzhen, China (Hybrid)
Machine Learning	KSE 2022	The 14th International Conference on Knowledge and Systems Engineering	Oct 19, 2022	Nha Trang, Vietnam
Machine Learning	ICDM 2022	22nd IEEE International Conference on Data Mining 	Nov 30, 2022	Orlando, FL, USA
Machine Learning	AutoML 2022	The Sixth International Workshop on Automation in Machine Learning	Aug 14, 2022	KDD 2022, Washington DC
Machine Learning	CVAUI 2022	5th Workshop on Computer Vision for Analysis of Underwater Imagery	Aug 21, 2022	Montréal, Canada
Machine Learning	BDAML--Ei, Scopus 2022	2022 International Conference on Big Data Analysis and Machine Learning (BDAML 2022)--Ei Compendex, Scopus	Jul 20, 2022	Suzhou, China
Machine Learning	ICML ExVo 2022	ICML Expressive Vocalization (ExVo) Workshop and Competition 	Jul 22, 2022	Baltimore, USA 
Machine Learning	Special Session on TMLAE, IEEE DASC o 2022	Special Session on Trustworthiness of Machine Learning in Adversarial  Environments, 20th IEEE International Conference on Dependable, Autonomic &  Secure Computing	Sep 12, 2022	Calabria, Italy
Machine Learning	Special Session on TMLAE, IEEE DASC 2022	Special Session on Trustworthiness of Machine Learning in Adversarial  Environments, 20th IEEE International Conference on Dependable, Autonomic &  Secure Computing	Sep 12, 2022	Calabria, Italy
Machine Learning	DOING@ADBIS 2022	3rd International Workshop on Intelligent Data – From Data to Knowledge	Sep 5, 2022	Torino, Italy
Machine Learning	CDCEO  2022	2nd Workshop on Complex Data Challenges in Earth Observation	Jul 23, 2022	Vienna, Austria
Machine Learning	DDSCAKD 2022	Call for Contributions on Book: Data Driven Science for Clinically Actionable Knowledge in Diseases	Dec 1, 2022	Sydney, Australia
Machine Learning	ICAICC 2022	2nd International Conference on Artificial Intelligence and Cloud Computing	Jun 24, 2022	Chongqing, China
Machine Learning	CCIA 2022	24th International Conference of the Catalan Association for Artificial Intelligence	Oct 19, 2022	Sitges, Barcelona, Spain
Machine Learning	DSAA 2022	9th IEEE International Conference on Data Science and Advanced Analytics (DSAA' 2022)	Oct 13, 2022	Shenzhen, China
Machine Learning	FATED 2022	Workshop on Fairness, Accountability, and Transparency in Educational Data	Jul 27, 2022	Durham, UK
Machine Learning	MLG 2022	17th International Workshop on Mining and Learning with Graphs	Aug 15, 2022	Washinton, DC
Machine Learning	AI4Cyber/MLHat 2022	AI4Cyber/MLHat: AI-enabled Cybersecurity Analytics and Deployable Defense	May 2, 2022	Washington, DC
Machine Learning	IWSMR 2022	4th International Workshop on Information Security Methodology and Replication Studies	Aug 23, 2022	Vienna, Austria
Machine Learning	PRML 2022	IEEE--2022 3rd International Conference on Pattern Recognition and Machine Learning (PRML 2022)	Jul 15, 2022	Sichuan University, Chengdu, China
Machine Learning	HDSS  2022	Health Data Science Session (HDSS)- DeLTA Conference	Jul 12, 2022	Lisbon, Portugal
Machine Learning	FL-IJCAI 2022	International Workshop on Trustworthy Federated Learning in Conjunction with IJCAI 2022 (FL-IJCAI'22)	Jul 23, 2022	Vienna, Austria
Machine Learning	PREDICTION SOLUTIONS 2022	International Conference on Prediction Solutions for Technical and Societal Systems	Jul 24, 2022	Nice, France
Machine Learning	PPAM 2022	14th International Conference on Parallel Processing and Applied Mathematics	Sep 11, 2022	Gdansk, Poland
Machine Learning	WAML-HPC 2022	1st Workshop on Applications of Machine Learning and Artificial Intelligence in High-Performance Computing 	Sep 11, 2022	Gdansk, Poland
Machine Learning	SPES 2022	Special Session on Parallel EVD/SVD and its Application in Matrix Computations.	Sep 11, 2022	Gdansk, Poland
Machine Learning	IJCAI-AIofAI 2022	2nd Workshop on Adverse Impacts and Collateral Effects of AI Technologies	Jul 23, 2022	Vienna, Austria
Machine Learning	SGPU 2022	Special Session on GPU Computing	Sep 11, 2022	Gdansk, Poland
Machine Learning	MHPC-IM 2022	Minisymposium on High Performance Computing Interval Methods	Sep 11, 2022	Gdansk, Poland
Machine Learning	NeurIPS 2022	Thirty-sixth Conference on Neural Information Processing Systems	Nov 28, 2022	New Orleans, LA. Hybrid
Machine Learning	NCTA 2022	14th International Conference on Neural Computation Theory and Applications	Oct 24, 2022	Valletta, Malta
Machine Learning	DMAH 2022	The Eighth International Workshop on Data Management and Analytics for Medicine and Healthcare	Sep 9, 2022	Sydney, Australia - virtual event
Machine Learning	AUTOMATA 2022	The 28th International Workshop on Cellular Automata and Discrete Complex Systems	Oct 10, 2022	Kharagpur, India
Machine Learning	ATVA 2022	The 20th International Symposium on Automated Technology for Verification and Analysis	Oct 25, 2022	Beijing, China
Machine Learning	ACAN 2022	The 13th International Workshop on Agent-based Complex Automated Negotiations	Jul 24, 2022	Vienna, Austria
Machine Learning	KI-KMU 2022	3. Workshop Künstliche Intelligenz für kleine und mittlere Unternehmen auf der INFORMATIK 2022                                 	Sep 26, 2022	Hamburg, Germany
Machine Learning	IEEE-ISNCC 2022	2022 International Symposium on Networks, Computers and Communications	Jul 19, 2022	Shenzhen, China
Machine Learning	RSTA 2022	4th International Symposium on Rough Sets: Theory and Applications	Sep 4, 2022	Sofia, Bulgaria
Machine Learning	NSV 2022	15th International Workshop on Numerical Software Verification	Aug 11, 2022	Haifa, Israel 
Machine Learning	COPA 2022	11th Symposium on Conformal and Probabilistic Prediction with Applications	Aug 24, 2022	Brighton, UK
Machine Learning	ENC 2022	** Deadline extended ** Track: Scientific Computation Applied to Geospatial Problems, Encuentro Nacional de Computación 2022 (ENC 2022)	Aug 24, 2022	Xalapa, Veracruz, Mexico (virtual)
Data Mining	RECI 2022	The Second International Workshop on Reliability Engineering and Computational Intelligence	Nov 14, 2022	Delft, Netherlands
Data Mining	ITCS 2022	11th International Conference on Information Technology Convergence and Services	Nov 12, 2022	Chennai, India
Data Mining	NLMLT 2022	International Conference on NLP and Machine Learning Trends	Nov 12, 2022	Chennai, India
Data Mining	DSA 2022	3rd International Conference on Data Science and Applications 	Dec 23, 2022	Sydney, Australia
Data Mining	ACITY 2022	12th International Conference on Advances in Computing and Information Technology	Dec 23, 2022	Sydney, Australia
Data Mining	WiMoA 2022	14th International Conference on Wireless, Mobile Network and Applications 	Nov 26, 2022	London, United Kingdom
Data Mining	UBIC 2022	13th International Conference on Ubiquitous Computing 	Nov 26, 2022	London, United Kingdom
Data Mining	BMLI 2022	3rd International Conference on Big Data, Machine Learning and IoT	Dec 22, 2022	Sydney, Australia
Data Mining	DNLP 2023	4th International Conference on Data Mining and NLP	Jan 2, 2023	Zurich, Switzerland
Data Mining	ADCOM 2023	9th International conference on Advanced Computing	Jan 28, 2023	Copenhagen, Denmark
Data Mining	DMDBS 2022	8th International Conference on Data Mining and Database Management Systems	Nov 19, 2022	Zurich, Switzerland
Data Mining	ITCSS 2023	9th International Conference on Information Technology Convergence and Services	Jan 28, 2023	 Copenhagen, Denmark
Data Mining	BDAB  2023	4th International Conference on Big Data and Blockchain 	Jan 28, 2023	Copenhagen, Denmark
Data Mining	EAI BDTA 2022	12th EAI International Conference on Big Data Technologies and Applications	Dec 10, 2022	Cairo, Egypt
Data Mining	MLSC 2023	4th International Conference on Machine Learning and Soft Computing 	Jan 28, 2023	Copenhagen, Denmark
Data Mining	MLDS 2022	3rd International Conference on Machine Learning Techniques and Data Science	Nov 26, 2022	London, United Kingdom
Data Mining	BDHI  2023	4th International Conference on Big Data & Health Informatics	Jan 2, 2023	Zurich, Switzerland
Data Mining	CSML 2023	International Conference on Computer Science and Machine Learning 	Jan 2, 2023	Zurich, Switzerland
Data Mining	DMDB 2023	10th International Conference on Data Mining and Database 	Feb 18, 2023	Dubai, UAE
Data Mining	DBDM  2023	11th International Conference on Database and Data Mining	Feb 25, 2023	Vancouver, Canada
Data Mining	CNSA  2023	16th International Conference on Network Security & Applications	Feb 18, 2023	Dubai, UAE
Data Mining	AIMLA 2023	3rd International Conference on AI, Machine Learning and Applications	Feb 25, 2023	Vancouver, Canada
Data Mining	CEEE  2022	4th International Conference on Applied Control, Electrical and Electronics Engineering	Dec 17, 2022	Dubai, UAE
Data Mining	IOTBS  2023	3rd International Conference on IOT, Big Data and Security	Feb 25, 2023	Vancouver, Canada
Data Mining	MLAEDU 2022	International Conference on Machine Learning, AI and Education	Dec 17, 2022	Dubai, UAE
Data Mining	CCSEIT  2023	13th International Conference on Computer Science, Engineering and Information Technology	Feb 18, 2023	Dubai, UAE
Data Mining	CSE 2022	10th International Conference on Computational Science and Engineering	Dec 17, 2022	Dubai, UAE
Data Mining	MECN 2022	4th International Conference on Mechanical Engineering	Dec 17, 2022	Dubai, UAE
Data Mining	DKMP  2023	11th International Conference on Data Mining & Knowledge Management Process	Mar 18, 2023	Vienna, Austria
Data Mining	NLCAI 2023	4th International Conference on Natural Language Computing and AI	Mar 18, 2023	Vienna, Austria
Data Mining	AIFU 2023	9th International Conference on Artificial Intelligence and Applications	Mar 18, 2023	Vienna, Austria
Data Mining	ICAITA  2023	12th International Conference on Advanced Information Technologies and Applications	Mar 25, 2023	Sydney, Australia
Data Mining	SOFT 2023	9th International Conference on Software Engineering 	Mar 25, 2023	Sydney, Australia
Data Mining	BIoT  2023	4th International Conference on Blockchain and Internet of Things	Mar 18, 2023	Vienna, Austria
Data Mining	SNLP  2023	4th International Conference on Semantic & Natural Language Processing 	May 27, 2023	Vancouver, Canada
Data Mining	CMIT 2023	11th International Conference of Managing Information Technology	May 27, 2023	Vancouver, Canada
Data Mining	DMA 2023	9th International Conference on Data Mining and Applications	May 20, 2023	Zurich, Switzerland
Data Mining	SIPRO  2023	9th International Conference on Signal and Image Processing 	Mar 18, 2023	Vienna, Austria
Data Mining	AIAPP  2023	9th International Conference on Artificial Intelligence and Applications	May 20, 2023	Zurich, Switzerland
Data Mining	NCO 2023	9th International Conference on Networks and Communications 	Mar 25, 2023	Sydney, Australia
Data Mining	CBDA 2023	4th International Conference on Big Data	May 20, 2023	Zurich, Switzerland
Data Mining	ITCA 2023	11th International Conference of Information Technology, Control and Automation	May 27, 2023	Vancouver, Canada
Data Mining	ICBDSC--Ei 2023	ACM--2023 the 6th International Conference on Big Data and Smart Computing (ICBDSC 2023)	Jan 31, 2023	Palmerston North, New Zealand
Data Mining	IBTS 2023	2023 International Blockchain Technology Symposium (IBTS 2023)	Mar 17, 2023	Nice, France
Data Mining	ICSIM--EI 2023	ACM--2023 The 6th International Conference on Software Engineering and Information Management (ICSIM 2023)	Jan 31, 2023	Palmerston North, New Zealand
Data Mining	NCWMC  2023	8th International Conference on Networks, Communications, Wireless and Mobile Computing	Jul 22, 2023	Toronto, Canada
Data Mining	ICDIPV  2023	12th International Conference on Digital Image Processing and Vision	Jul 29, 2023	London, United Kingdom
Data Mining	DaKM 2023	8th International Conference on Data Mining & Knowledge Management	Jul 22, 2023	Toronto, Canada
Data Mining	CBIoT  2023	4th International Conference on Cloud, Big Data and IoT 	Jul 29, 2023	London, United Kingdom
Data Mining	NLPCL 2023	4th International Conference on Natural Language Processing and Computational Linguistics	Jul 22, 2023	Toronto, Canada
Data Mining	IWSMAI 2023	4th International Workshop on Statistical Methods and Artificial Intelligence	Mar 15, 2022	Leuven, Belgium
Data Mining	CAIML  2023	4th International Conference on Artificial Intelligence and Machine Learning	Jul 29, 2023	London, United Kingdom
Data Mining	ACM-Ei/Scopus-PRDM 2022	2022 3rd International Conference on Pattern Recognition and Data Mining （PRDM 2022）-EI Compendex	Dec 23, 2022	Sanya, China
Data Mining	ACM-Ei/Scopus-MLBDM 2022	2022 2nd International Conference on Machine Learning and Big Data Management（MLBDM 2022）-EI Compendex	Dec 23, 2022	Sanya, China
Data Mining	IFAC WC SIMCA 2023	IFAC WC '2023 SIMCA Open Invited Track	Jul 9, 2023	Yokohama, Japan
Data Mining	ACM ICCDE 2023	ACM--2023 9th International Conference on Computing and Data Engineering (ICCDE 2023)	Jan 6, 2023	Haikou, China
Data Mining	ICGDA--Ei 2023	2023 6th International Conference on Geoinformatics and Data Analysis (ICGDA 2023)	Apr 13, 2023	Marseille, France
Data Mining	GBDE--EI, Scopus 2023	2023 The 3rd Global Big Data Engineering Symposium (GBDE 2023)--EI Compendex, Scopus	Jan 10, 2023	Hangzhou, China
Data Mining	ICBDM--EI 2023	2023 the 6th International Conference on Big Data Management (ICBDM 2023)	Feb 17, 2023	Zhuhai, China
Data Mining	IFSP 2023	2023 the 3rd International Forum on Signal Processing (IFSP 2023)	Jan 6, 2023	Chongqing, China
Data Mining	DSDE--Ei 2023	2023 the 6th International Conference on Data Storage and Data Engineering (DSDE 2023)	Feb 24, 2023	Mianyang, Sichuan, China
Data Mining	PAKDD 2023	The 26th Pacific-Asia Conference on Knowledge Discovery and Data Mining	May 25, 2023	Osaka, Japan
Data Mining	DMCIT 2023	2023 7th International Conference on Data Mining, Communications and Information Technology (DMCIT 2023)	May 26, 2023	Chongqing, China
Data Mining	China, DMCIT 2023	2023 7th International Conference on Data Mining, Communications and Information Technology (DMCIT 2023)	May 26, 2023	Chongqing, China
Data Mining	IDITR 2023	2023 2nd International Conference on Innovations and Development of Information Technologies and Robotics (IDITR 2023)	May 26, 2023	Chengdu, China 
Data Mining	Processes - AI Energy 2022	Application of Artificial Intelligence and Data Mining in Energy System	Dec 30, 2021	MDPI, Processes
Data Mining	ICDM 2023	23rd Industrial Conference on Data Mining	Jul 12, 2023	New York, USA
Data Mining	MLDM 2023	19th International Conference on Machine Learning and Data Mining	Jul 16, 2023	New York, USA
Data Mining	MLDM 2023	18th International Conference on Machine Learning and Data Mining	Jul 16, 2023	New York, USA
Data Mining	CoMSE 2023	2023 International Conference on Materials Science and Engineering (CoMSE 2023)	Mar 24, 2023	Shanghai, China
Data Mining	ACM-PRIS 2023	2023 5th International Conference on Pattern Recognition and Intelligent Systems (PRIS 2023)	Jul 28, 2023	Shenyang, China
Data Mining	ACM | PRIS 2023	2023 5th International Conference on Pattern Recognition and Intelligent Systems (PRIS 2023)	Jul 28, 2023	Shenyang, China
Data Mining	DMKD 2023	2023 6th International Conference on Data Mining and Knowledge Discovery(DMKD 2023)	Mar 17, 2023	Seoul, South Korea
Data Mining	ACBT--EI 2023	2023 Asia Conference on Blockchain Technologies (ACBT 2023)	Jun 23, 2023	Seoul, South Korea
Data Mining	ITIOT 2023	2023 8th International Conference on Information Technology and Internet of Things (ITIOT 2023)	Jun 23, 2023	Seoul, South Korea
Data Mining	ICISPP 2023	IEEE--2023 4th International Conference on Information Security and Privacy Protection (ICISPP 2023)	Jul 8, 2023	Wuxi, China
Data Mining	DMKD 2023	2023 6th International Conference on Data Mining and Knowledge Discovery(DMKD 2023)	Mar 17, 2023	Seoul, South Korea
Data Mining	ICCDA 2023	2023 The 7th International Conference on Compute and Data Analysis (ICCDA 2023)	Jul 20, 2023	Guiyang, China
Data Mining	ICACII 2023	2nd International Conference on Advances in Computational Intelligence and Informatics 	Dec 22, 2023	Hyderabad, India
Data Mining	SDM 2023	SDM 2023 : SIAM International Conference on Data Mining	Apr 27, 2023	Minneapolis, MN, USA
Data Mining	BDSIC 2022	2022 4th International Conference on Big-data Service and Intelligent Computation (BDSIC 2022)	Nov 25, 2022	Xiamen, China
Data Mining	WSIM 2022	2022 2nd International Workshop on Information Management (WSIM 2022)	Dec 2, 2022	London, UK
Data Mining	BIOM 2022	2nd International Conference on Big Data, IoT and Machine Learning	Oct 22, 2022	Sydney, Australia
Data Mining	NLDM 2022	2nd International Conference on NLP & Data Mining	Oct 22, 2022	Sydney, Australia
Data Mining	ARIAL@ICDM 2022	IEEE 5th Workshop on AI for Aging, Rehabilitation, and Intelligent Assisted Living	Nov 28, 2022	Orlando, USA
Data Mining	FSDM 2022	8th International Conference on Fuzzy Systems and Data Mining	Nov 4, 2022	Xiamen, China
Data Mining	TAAI 2022	The 27th International Conference on Technologies and Applications of Artificial Intelligence (TAAI) 	Dec 1, 2022	Tainan, Taiwan
Data Mining	ICNT--Ei 2022	2022 5th International Conference on Network Technology (ICNT 2022)	Oct 21, 2022	Beijing, China
Data Mining	AESM 2022	Algorithms towards Ethical and Privacy challenges in Social Media recommendation systems - ICDMW	Aug 20, 2022	Orlando, Florida, USA
Data Mining	DMBD 2022	The Seventh International Conference on Data Mining and Big Data	Nov 21, 2022	Beijing, China
Data Mining	IEEE-ADMIT 2022	2022 International Conference on Algorithms, Data Mining, and Information Technology (ADMIT 2022)	Sep 23, 2022	Xi'an, China
Data Mining	DMBD 2022	7th International Conference on Data Mining and Big Data 	Nov 21, 2022	Beijing, China
Data Mining	DMBD 2022	DMBD'2022: Call for Special Session Proposals & Call for Papers 	Nov 21, 2022	Beijing,China
Data Mining	ABCSS 2022	The 7th International Workshop on Application of Big Data for Computational Social Science	Nov 17, 2022	Niagara Falls, Canada
Data Mining	AUSDM 2022	The 20th Australasian Data Mining Conference 2022 Deadline Extended to August 19	Dec 12, 2022	Western Sydney, Australia
Data Mining	INCOFT 2022	International Conference on Futuristic Technologies	Nov 25, 2022	 Belagavi, Karnataka, India
Data Mining	ACM-Ei/Scopus-ITNLP 2022	2022 2nd International Conference on Information Technology and Natural Language Processing (ITNLP 2022) -EI Compendex	Aug 26, 2022	Xi'an, China
Data Mining	ACM--ICBDT 2022	ACM--2022 5th International Conference on Big Data Technologies (ICBDT 2022)	Sep 23, 2022	Qingdao, China
Data Mining	ACM-Ei/Scopus-CVCM 2022	2022 3rd International Conference on Computer Vision, Communications and Multimedia (CVCM 2022) -EI Compendex	Aug 26, 2022	Xi'an, China
Data Mining	ADMA 2022	18th International Conference on Advanced Data Mining and Applications	Nov 28, 2022	Brisbane, Australia
Data Mining	AUSDM 2022	The 20th Australasian Data Mining Conference 2022 Second Call for Papers	Dec 12, 2022	Western Sydney, Australia
Data Mining	ICCCMLA 2022	IEEE 4th International Conference on Cybernetics, Cognition and Machine Learning Applications	Oct 8, 2022	Goa, India
Data Mining	DMMLACS 2022	3rd International Special Session on Data Mining and Machine Learning Applications for Cyber Security	Oct 25, 2022	Valleta, Malta
Data Mining	ADMA 2022	18th International Conference on Advanced Data Mining and Applications	Nov 30, 2022	Brisbane, Australia
Data Mining	ICMLA 2022	IEEE International conference on Machine Learning and Applications	Dec 12, 2022	Nassau, The Bahamas
Data Mining	BDEE 2022	2022 The 2nd International Conference on Big Data Engineering and Education (BDEE 2022)	Aug 5, 2022	Chengdu, China
Data Mining	MIDAS 2022	The 7th Workshop on MIning DAta for financial applicationS	Sep 23, 2022	Grenoble, France
Data Mining	ICBDR--Ei Compendex, Scopus 2022	2022 The 6th International Conference on Big Data Research (ICBDR 2022)--Ei Compendex, Scopus	Aug 10, 2022	Harbin, China
Data Mining	IEEE--DSIT 2022	2022 IEEE 5th International Conference on Data Science and Information Technology (DSIT 2022)	Jul 22, 2022	Shanghai, China
Data Mining	BDIOT 2022	2022 6th International Conference on Big Data and Internet of Things (BDIOT 2022)	Aug 12, 2022	Chongqing, China
Data Mining	GRAPH-QUALITY@ECML-PKDD 2022	GRAPH-QUALITY Workshop Co-located with ECML-PKDD	Sep 23, 2022	Grenoble, France
Data Mining	AALTD@ECML 2022	Workshop on Advanced Analytics and Learning on Temporal Data	Sep 19, 2022	Grenoble, France
Data Mining	SCIS-ISIS 2022	Joint 12th International Conference on Soft Computing and Intelligent Systems and 23rd International Symposium on Advanced Intelligent Systems	Nov 29, 2022	Ise-Shima, Mie prefecture, Japan
Data Mining	PRAXAI @ IEEE-DSAA 2022	Practical applications of explainable artificial intelligence methods  @ IEEE-DSAA22	Oct 13, 2022	Shenzhen, China (Hybrid)
Data Mining	SmartCloud  2022	The 7th IEEE International Conference on Smart Cloud	Oct 8, 2022	Shanghai, China
Data Mining	ICDM 2022	22nd IEEE International Conference on Data Mining 	Nov 30, 2022	Orlando, FL, USA
Data Mining	ICPM 2022	4th International Conference on  Process Mining 2022	Oct 23, 2022	Bozen-Bolzano, Italy
Data Mining	BDAML--Ei Compendex, Scopus 2022	2022 International Conference on Big Data Analysis and Machine Learning (BDAML 2022)--Ei Compendex, Scopus	Jul 20, 2022	Suzhou, China
Data Mining	BigDaCI 2022	7th International Conference on Big Data Analytics, Data Mining and Computational Intelligence	Jul 20, 2022	Lisbon, Portugal 
Data Mining	NeurIPS 2022	Thirty-sixth Conference on Neural Information Processing Systems	Nov 28, 2022	New Orleans, LA. Hybrid
Data Mining	DMAH 2022	The Eighth International Workshop on Data Management and Analytics for Medicine and Healthcare	Sep 9, 2022	Sydney, Australia - virtual event
Data Mining	HP3C--ACM, Ei and Scopus 2022	ACM--2022 6th International Conference on High Performance Compilation, Computing and Communications (HP3C 2022)--Ei Compendex, Scopus	Jun 23, 2022	Jilin, China
Data Mining	ICDPA--Scopus, Ei 2022	2022 The 8th International Conference on Data Processing and Applications (ICDPA 2022)--Scopus, Ei Compendex	Jun 24, 2022	Xiamen, China
