conference_acronym	conference_name	conference_date	conference_location
ISOCI 2021	International Symposium on Computational Intelligence	Aug 13, 2021	Stockholm, Sweden
IWANN 2023	International Work-Conference on Artificial and Natural Neural Networks	Jun 19, 2023	Ponta Delgada, Azores, Portugal
MegaData 2021	International Workshop on Advanced Data Systems Management, Engineering, and Analytics	Aug 24, 2021	Tartu, Estonia
AIdSH 2020	International Workshop on AI-driven Smart Healthcare	Dec 7, 2020	Taipei, Taiwan 
Auto-DaSP 2021	International Workshop on Autonomic Solutions for Parallel and Distributed Data Stream Processing	Apr 19, 2021	Rennes, France (probably online)
IWBDR 2020	 International Workshop on Big Data Reduction	Dec 10, 2020	Virtual, USA
DRBSD 2022	International Workshop on Data Analysis and Reduction for Big Scientific Data	Nov 13, 2022	Dallas, TX
FL-NeurIPS 2022	International Workshop on Federated Learning: Recent Advances and New Challenges in Conjunction with NeurIPS 2022	Dec 2, 2022	New Orleans, LA, USA
Intel4EC 2022	International Workshop on Intelligent and Adaptive Edge-Cloud Operations and Services collocated with IEEE/ACM Conference on Utility and Cloud Computing (UCC 2022)	Dec 6, 2022	Portland, Oregon, USA
WMLQ 2022	International Workshop on Machine Learning and Quantum Computing Applications in Medicine and Physics	Sep 13, 2022	Warsaw, Poland
MLVis 2020	International Workshop on Machine Learning in Visualisation for Big Data 2020	May 25, 2020	Norrköping, Sweden
FL-IJCAI 2022	International Workshop on Trustworthy Federated Learning in Conjunction with IJCAI 2022 (FL-IJCAI'22)	Jul 23, 2022	Vienna, Austria
SITIS 2022	Int IEEE Conf. Signal Image and Internet Based Systems : TRACK ISSA on Intelligent Systems, Services and Applications	Oct 19, 2022	Dijon, France
IWBIS 2022	IWBIS 2022 : THE 7TH INTERNATIONAL WORKSHOP ON BIG DATA AND INFORMATION SECURITY	Oct 1, 2022	Jakarta, Indonesia
SCIS-ISIS 2022	Joint 12th International Conference on Soft Computing and Intelligent Systems and 23rd International Symposium on Advanced Intelligent Systems	Nov 29, 2022	Ise-Shima, Mie prefecture, Japan
LION 2023	Learning and Intelligent Optimization 17	Jun 4, 2023	Nice, France
MLBD 2020	Machine Learning for Big Data track of the 34th International ECMS Conference on Modelling and Simulation	Jun 9, 2020	Wildau near Berlin, Germany
MLVis 2022	Machine Learning Methods in Visualisation for Big Data	Jun 13, 2022	Rome, Italy
MESS 2020	Metaheuristics Summer School 2020+1 :: Learning & Optimization from Big Data	Jun 15, 2021	Catania, Italy
MHPC-IM 2022	Minisymposium on High Performance Computing Interval Methods	Sep 11, 2022	Gdansk, Poland
MSA 2021	Multivariate Statistical Analysis 	Nov 8, 2021	Łódź, Poland
NLDL 2023	Northern Lights Deep Learning Conference 2023	Jan 10, 2023	Tromsø, Norway
IFAC INCOM SIMCA 2021	OPEN TRACK on SYSTEM IDENTIFICATION for MANUFACTURING CONTROL APPLICATIONS	Jun 7, 2021	Budapest, Hungary
HOO 2022	Order up! The Benefits of Higher-Order Optimization in Machine Learning: NeurIPS 2022	Dec 2, 2022	New Orleans, LA
PAKDD 2021	Pacific-Asia Conference on Knowledge Discovery and Data Mining	May 11, 2021	Delhi, India
PRELUDE 2022	PeRvasive sEnsing and muLtimedia UnDErstanding	Oct 19, 2022	Iijon, France
PRAXAI @ IEEE-DSAA 2021	Practical applications of explainable artificial intelligence methods  @ IEEE-DSAA21	Oct 6, 2021	Porto, Portugal (virtual)
PRAXAI @ IEEE-DSAA 2022	Practical applications of explainable artificial intelligence methods  @ IEEE-DSAA22	Oct 13, 2022	Shenzhen, China (Hybrid)
RDAAPS 2021	Reconciling Data Analytics, Automation, Privacy, and Security: A Big Data Challenge	May 17, 2021	McMaster University, Hamilton ON, Canada
SABID 2020	SABID 2020: WORKSHOP ON SOLAR & STELLAR ASTRONOMY BIG DATA (online)	Dec 13, 2020	online, part of IEEE BigData 2020
IntelliSys 2022	SAI Intelligent Systems Conference 2022	Sep 1, 2022	Amsterdam, The Netherlands
SCDM 2022	Scalable Cloud Data Management Workshop	Dec 17, 2022	Osaka, Japan
SCIA 2023	Scandinavian Conference on Image Analysis	Apr 18, 2023	Levi Ski Resort, Lapland, Finland
SCDM 2021	SCDM 2021 : Scalable Cloud Data Management Workshop	Dec 15, 2021	Remote (orig. Orlando, FL/USA)
SDM 2023	SDM 2023 : SIAM International Conference on Data Mining	Apr 27, 2023	Minneapolis, MN, USA
DAL 2022	Second International Conference on Data Analytics and Learning 2022	Dec 30, 2022	Moodbidri, Mangalore
MLLD 2021	Second International Workshop on Mining and Learning in the Legal Domain	Dec 7, 2021	Auckland, New Zealand
HCCS 2020	Second Workshop on Human-Centered Computational Sensing (HCCS'20) @ PerCom 2020	Mar 23, 2020	Austin, Texas, USA
CVIP 2022	Seventh International Conference on Computer Vision and Image Processing  (endorsed by IAPR)	Nov 4, 2022	Nagpur, Maharashtra, India
KDWEB  2021	Seventh International Workshop on Knowledge Discovery on the Web	May 20, 2021	Biarritz, France
ISIC-SIAW-ECCV 2022	Seventh ISIC Skin Image Analysis Workshop @ ECCV 2022	Oct 23, 2022	Tel Aviv, Israel
SDM 2022	SIAM International Conference on Data Mining	Apr 28, 2022	Alexandria, Virginia, USA
SIVT 2022	Signal Image and Vision Technology	Oct 19, 2022	Dijon, France
SITAIBA 2021	SITAIBA 2021 : 2021 International Conference on Security and Information Technologies with AI, Internet Computing and Big-data Applications	Nov 18, 2021	Taichung City, TAIWAN
SMC 2021	 Smoky Mountains Computational Sciences & Engineering Conference 2021	Aug 24, 2021	Oak Ridge, TN
SGPU 2022	Special Session on GPU Computing	Sep 11, 2022	Gdansk, Poland
SPES 2022	Special Session on Parallel EVD/SVD and its Application in Matrix Computations.	Sep 11, 2022	Gdansk, Poland
Special Session on TMLAE, IEEE DASC o 2022	Special Session on Trustworthiness of Machine Learning in Adversarial  Environments, 20th IEEE International Conference on Dependable, Autonomic &  Secure Computing	Sep 12, 2022	Calabria, Italy
SPIE ICMV 2022	SPIE--2022 The 15th International Conference on Machine Vision (ICMV 2022)	Nov 18, 2022	Rome, Italy
Springer--ICENAT 2022	Springer--2022 International Conference on Emerging Networking Architecture and Technologies (ICENAT 2022)	Oct 15, 2022	Shenzhen, China
BDSN  2022	The 10th International workshop on Big Data and Social Networking Management and Security	Nov 29, 2022	Milan, Italy
TempWeb 2020	The 10th Temporal Web Analytics Workshop 2020 (@ The Web Conference)	Apr 20, 2020	Taipei, Taiwan
SCSN 2023	The 11th IEEE International Workshop on Semantic Computing for Social Networks and Organization Sciences: from user information to social knowledge	Feb 1, 2023	Laguna Hills, CA, USA (Hybrid)
ICBK 2021	The 12th IEEE International Conference on Big Knowledge	Dec 7, 2021	Auckland, New Zealand
CloudCom 2020	The 12th IEEE International Conference on  Cloud Computing Technology and Science	Dec 14, 2020	Bangkok, Thailand
MEDES 2020	The 12th International Conference on Management of Digital EcoSystems	Nov 2, 2020	Abu Dhabi, UAE
PAAP 2022	The 13th International Symposium on Parallel Architectures, Algorithms and Programming	Nov 4, 2022	Beijing, China
ACAN 2022	The 13th International Workshop on Agent-based Complex Automated Negotiations	Jul 24, 2022	Vienna, Austria
SMDB 2022	The 13th International Workshop on Self-Managing Database Systems (SMDB 2022)	May 9, 2022	Kuala Lumpur, Malaysia (or Online)
IEEE BigDataSE 2021	The 14th IEEE International Conference on Big Data Science and Engineering	Dec 29, 2020	Guangzhou, China
KSE 2022	The 14th International Conference on Knowledge and Systems Engineering	Oct 19, 2022	Nha Trang, Vietnam
FPS 2022	The 15th International Symposium on Foundations & Practice of Security	Dec 12, 2022	Ottawa, Canada
ACCV 2022	The 16th Asian Conference on Computer Vision	Dec 4, 2022	Macau SAR, China
ADMA 2021	The 17th International Conference on Advanced Data Mining and Applications 	Dec 6, 2021	Sydney, Australia
AusDM 2020	The 18th Australasian Data Mining Conference 2020	Dec 1, 2020	Canberra, Australia
SERA 2022	The 19th IEEE/ACIS International Conference on Software Engineering Research, Management and Applications	May 25, 2022	Las Vegas, Nevada, USA
Privacy 2021	The 2021 International Symposium on Privacy, Security and Smart Cities	Dec 16, 2021	Newcastle upon Tyne, UK
ICACNIS 2022	The 2022 International Conference on Advanced Creative Networks and Intelligent Systems	Nov 23, 2022	Bandung, Indonesia
AUSDM 2022	The 20th Australasian Data Mining Conference 2022 Deadline Extended to August 19	Dec 12, 2022	Western Sydney, Australia
AUSDM 2022	The 20th Australasian Data Mining Conference 2022 Second Call for Papers	Dec 12, 2022	Western Sydney, Australia
ATVA 2022	The 20th International Symposium on Automated Technology for Verification and Analysis	Oct 25, 2022	Beijing, China
DaWaK 2021	The 23rd International Conference on Big Data Analytics and Knowledge Discovery	Sep 27, 2021	Linz, Austria (Virtual)
IEEE CSE  2022	The 25th IEEE International Conference on Computational Science and Engineering	Oct 28, 2022	Wuhan, China
PAKDD 2023	The 26th Pacific-Asia Conference on Knowledge Discovery and Data Mining	May 25, 2023	Osaka, Japan
TAAI 2022	The 27th International Conference on Technologies and Applications of Artificial Intelligence (TAAI) 	Dec 1, 2022	Tainan, Taiwan
AUTOMATA 2022	The 28th International Workshop on Cellular Automata and Discrete Complex Systems	Oct 10, 2022	Kharagpur, India
IIoTBDSC 2021	The 2nd International Conference on Industrial IoT, Big Data and Supply Chain (IIoTBDSC 2021) 	Oct 15, 2021	Macao, SAR of China and online
BMVC 2022	The 33rd British Machine Vision Conference	Nov 21, 2022	London, UK
AINA 2021	The 35th International Conference on Advanced Information Networking and Applications	May 12, 2021	Ryerson University, Canada
AAAI Fast Track 2023	The 37th AAAI Conference on Artificial Intelligence (Fast Track)	Feb 7, 2023	Washington, DC, USA
DBB   2022	The 3rd International Conference on Deep Learning, Big Data and Blockchain	Aug 22, 2022	Rome, Italy
MuSe 2022	The 3rd International Multimodal Sentiment Analysis Challenge and Workshop @ ACM Multimedia 2022, October 2022, Lisbon, Portugal	Oct 10, 2022	Lisbon, Portugal
APWeb-WAIM 2020	The 4th APWeb-WAIM International Joint Conference on Web and Big Data	Aug 12, 2020	Tianjin, China
BCCA 2022	The 4th IEEE International Conference on Blockchain Computing and Applications	Sep 5, 2022	San Antonio, USA
ICAISE 2022	The 4th International Conference on Artificial Intelligence and Smart  Environment	Nov 24, 2022	Errachidia, MOROCCO
HMiMS 2022	The 4th International Symposium on Health and Medical informatics, Management and Security	Nov 29, 2022	Milan, Italy
MDE Intelligence 2022	The 4th Workshop on Artificial Intelligence and Model-driven Engineering	Oct 23, 2022	Montreal (Canada), Virtual
SUMAC 2022	The 4th workshop on Structuring and Understanding of Multimedia HeritAge Contents, in conjunction with ACM Multimedia 2022	Oct 10, 2022	Lisbon, Portugal
ANLP 2021	The 5th International Workshop on Advances in Natural Language Processing	Dec 6, 2021	Gandia, Spain
DSEA 2021	The 5th International Workshop on Data Science Engineering and its Applications	Dec 6, 2021	Gandia, Spain
SAMSN 2022	The 5th International Workshop on Sentiment Analysis and Mining of Social Networks	Nov 29, 2022	Milan, Italy
APWeb-WAIM 2022	The 6th APWeb-WAIM International Joint Conference on Web and Big Data	Oct 14, 2022	Nanjing, China
IEEE ICA 2022	The 6th IEEE International Conference on Agents	Nov 28, 2022	Adelaide, Australia
FinancialNews&Data-IEEE-BigData 2022	The 6th IEEE International Workshop on Big Data for Financial News and Data	Dec 17, 2022	Osaka, Japan (also Online)
ANLP 2022	The 6th International Workshop on Advances in Natural Language Processing	Nov 29, 2022	Milan, Italy
ABCSS 2021	The 6th International Workshop on Application of Big Data for Computational Social Science	Dec 14, 2021	Melbourne, Australia
BDNT- 2020	The 6th International workshop on Big Data and Networks Technologies	Nov 2, 2020	Madeira, Portugal
DSEA 2022	The 6th International Workshop on Data Science Engineering and its Applications	Nov 29, 2022	Milan, Italy
SmartCloud  2022	The 7th IEEE International Conference on Smart Cloud	Oct 8, 2022	Shanghai, China
ABCSS 2022	The 7th International Workshop on Application of Big Data for Computational Social Science	Nov 17, 2022	Niagara Falls, Canada
OSNT 2021	The 7th International Workshop on Online Social Networks Technologies	Dec 6, 2021	Gandia, Spain
RSDA 2022	The 7th International Workshop on Resiliency, Security, Defenses and Attacks	Oct 31, 2022	Charlotte, North Carolina, USA
LOD  2021	The 7th Online & Onsite International Conference on Machine Learning, Optimization & Data Science 	Oct 5, 2021	Grasmere, Lake District, England – UK
MIDAS 2022	The 7th Workshop on MIning DAta for financial applicationS	Sep 23, 2022	Grenoble, France
BDSN 2020	The 8th International workshop on Big Data and Social Networking Management and Security	Dec 14, 2020	Paris, France
MCSMS 2022	The 8th International Workshop on Mobile Cloud Computing systems, Management, and Security	Nov 29, 2022	Milan, Italy
OSNT 2022	The 8th International Workshop on Online Social Networks Technologies	Nov 29, 2022	Milan, Italy
WNUT@COLING 2022	The 8th Workshop on Noisy User-generated Text (WNUT@COLING 2022)	Oct 16, 2022	Gyeongju, Republic of Korea
SNAMS 2022	The 9th International Conference on Social Networks Analysis, Management and Security	Nov 29, 2022	Milan, Italy
WITCOM  2020	The 9th International Congress of   Telematics & Computing	Nov 2, 2020	Puerto Vallarta, Jalisco, Mexico
BDSN 2021	The 9th International workshop on Big Data and Social Networking Management and Security	Dec 6, 2021	Gandia, Spain
WISDOM 2020	The 9th KDD Workshop on Issues of Sentiment Discovery and Opinion Mining	Aug 24, 2020	San Diego, CA USA
ALLDATA 2022	The Eighth International Conference on Big Data, Small Data, Linked Data and Open Data	Apr 24, 2022	Barcelona, Spain
DMAH 2022	The Eighth International Workshop on Data Management and Analytics for Medicine and Healthcare	Sep 9, 2022	Sydney, Australia - virtual event
DMBD 2020	The Fifth International Conference of Data Mining and Big Data	Jul 14, 2020	Belgrade, Serbia
OSNT 2020	The Fifth International Workshop on Online Social Networks Technologies	Dec 14, 2020	Paris, France
SNTA 2022	The Fifth International Workshop on Systems and Network Telemetry and Analytics 	Jul 1, 2022	Minneapolis, USA
IIoTBDSC 2020	The First International Conference on Industrial IoT Big Data and Supply Chain (IIoTBDSC) 	Sep 15, 2020	Macao, SAR of China
Data4MDE 2021	 The First International Workshop on Data4MDE	Jun 21, 2021	Bergen Norway, Virtual
DAIBC -  2022	THE FIRST INTERNATIONAL WORKSHOP ON DECENTRALIZED AI USING BLOCKCHAIN 	Sep 5, 2022	SAN ANTONIO, TEXAS, USA
DSEA 2020	The Fourth International Workshop on Data Science Engineering and its Applications 	Dec 14, 2020	Paris, France
CVPR 2023	The IEEE/CVF Conference on Computer Vision and Pattern Recognition	Jun 18, 2023	Vancouver, Canada
IDSTA 2022	The IEEE International Conference on Intelligent Data Science Technologies and Applications	Sep 5, 2022	San Antonio, USA
ICVGIP 2022	The Indian Conference on Computer Vision, Graphics and Image Processing	Dec 8, 2022	Gandhinagar,Gujarat
DASPA 2020	The International Workshop on Data Stream Processing and Applications 	Jul 1, 2020	University of Cagliari, Italy
MLA 2020	The International Workshop on Machine Learning Applications	Mar 31, 2020	Marrakech, Morocco
MLLD 2020	The International Workshop on Mining and Learning in the Legal Domain	Nov 17, 2020	Sorrento, Italy
SAMSN 2020	The International Workshop on Sentiment Analysis and Mining of Social Networks	Dec 14, 2020	Paris, France
SCICE 2021	The International Workshop on Smart Community with IoT, Cloud, and Edge Computing	Dec 6, 2021	Gandia, Spain
IoMT-CAS 2021	The Internet of Multimedia Things, Communications, Applications, and Security	Nov 15, 2021	Tartu, Estonia
CBD 2021	The Ninth International Conference on Advanced Cloud and Big Data	Oct 15, 2021	Xi'an, China
AICI 2021	The Second International Conference on Artificial Intelligence and Computational Intelligence (AICI 2021)	Jan 15, 2021	Hanoi, Vietnam
RECI 2022	The Second International Workshop on Reliability Engineering and Computational Intelligence	Nov 14, 2022	Delft, Netherlands
ACCSE 2022	The Seventh International Conference on Advances in Computation, Communications and Services	Jun 26, 2022	Porto, Portugal
DMBD 2022	The Seventh International Conference on Data Mining and Big Data	Nov 21, 2022	Beijing, China
GCA 2022	The Seventh International Workshop on GPU Computing and AI	Nov 21, 2022	Himeji, Japan
AutoML 2022	The Sixth International Workshop on Automation in Machine Learning	Aug 14, 2022	KDD 2022, Washington DC
IEEE CCEM 2021	The Tenth IEEE International Conference on Cloud Computing in Emerging Markets (CCEM), 27th - 30th October 2021, New Jersey, USA	Oct 27, 2021	NEW JERSY, USA
IMMM 2022	The Twelfth International Conference on Advances in Information Mining and Management	Jun 26, 2022	Porto, Portugal
EuroSymposium 2022	The XIVth EuroSymposium on Digital Transformation, 2022, University of Gdansk, Poland (videoconference, hybrid)	Dec 15, 2022	Videoconference (Sopot, Poland)
NeurIPS 2022	Thirty-sixth Conference on Neural Information Processing Systems	Nov 28, 2022	New Orleans, LA. Hybrid
U2BigData 2020	User Understanding from Big Data Workshop - in conjunction with IEEE Big Data 2020	Dec 10, 2020	Atlanta, GA
IWAIPR 2021	VII International Workshop on Artificial Intelligence and Pattern Recognition	Oct 5, 2021	La Habana, Cuba
VIPERC 2020	Visual Pattern Extraction and Recognition for Cultural Heritage Understanding Workshop	Jan 29, 2020	Bari, Italy
LCBuADAaML 2021	WordCIST 2021 (Springer) 1st Workshop on Leveraging customer behavior using advanced data analytics and Machine learning techniques	Mar 30, 2021	Terceira Island, Azores, Portugal,
AALTD@ECML 2022	Workshop on Advanced Analytics and Learning on Temporal Data	Sep 19, 2022	Grenoble, France
BTSD  2019	Workshop on Big Data Tools and Use Cases for Innovative Scientific Discovery (BTSD) 2019 @IEEE BigData 2019 LA, USA	Dec 9, 2019	LA, USA
FATED 2022	Workshop on Fairness, Accountability, and Transparency in Educational Data	Jul 27, 2022	Durham, UK
HPBD 2021	Workshop on High-Performance and Reliable Big Data	Sep 20, 2021	Chicago, USA
ibdaa 2020	Workshop on IoT based Big Data Architectures and Applications - in conjunction with IEEE Big Data 2020	Dec 10, 2020	Atlanta, Georgia
MLOpt 2023	Workshop on Machine Learning Techniques for Software Development and Optimization	Jan 16, 2023	Toulouse, France
BraSNAM 2021	X Brazilian Workshop on Social Network Analysis and Mining	Jul 18, 2021	Florianopolis, Brazil - ONLINE
